scenario;region;year;technology;min;mean;max
frozen;EUR;2020;treatment of BOF slag - landfill;7.900e-01;7.900e-01;7.900e-01
frozen;EUR;2050;treatment of BOF slag - landfill;7.900e-01;7.900e-01;7.900e-01
frozen;GLO;2020;treatment of BOF slag - landfill;7.900e-01;7.900e-01;7.900e-01
frozen;GLO;2050;treatment of BOF slag - landfill;7.900e-01;7.900e-01;7.900e-01
frozen;EUR;2020;treatment of BOF slag - recovery;2.100e-01;2.100e-01;2.100e-01
frozen;EUR;2050;treatment of BOF slag - recovery;2.100e-01;2.100e-01;2.100e-01
frozen;GLO;2020;treatment of BOF slag - recovery;2.100e-01;2.100e-01;2.100e-01
frozen;GLO;2050;treatment of BOF slag - recovery;2.100e-01;2.100e-01;2.100e-01
intervention;EUR;2020;treatment of BOF slag - landfill;7.900e-01;7.900e-01;7.900e-01
intervention;EUR;2020;treatment of BOF slag - recovery;2.100e-01;2.100e-01;2.100e-01
intervention;EUR;2050;treatment of BOF slag - landfill;1.300e-01;1.800e-01;2.300e-01
intervention;EUR;2050;treatment of BOF slag - recovery;7.700e-01;8.200e-01;8.700e-01
intervention;GLO;2020;treatment of BOF slag - landfill;7.900e-01;7.900e-01;7.900e-01
intervention;GLO;2020;treatment of BOF slag - recovery;2.100e-01;2.100e-01;2.100e-01
intervention;GLO;2050;treatment of BOF slag - landfill;1.300e-01;1.800e-01;2.300e-01
intervention;GLO;2050;treatment of BOF slag - recovery;7.700e-01;8.200e-01;8.700e-01
