scenario;region;year;technology;min;mean;max
frozen;AFR;2020;Arsenic ion;1.964e-04;1.964e-04;1.964e-04
frozen;AFR;2050;Arsenic ion;1.964e-04;1.964e-04;1.964e-04
frozen;CAZ;2020;Arsenic ion;5.330e-05;5.330e-05;5.330e-05
frozen;CAZ;2050;Arsenic ion;5.330e-05;5.330e-05;5.330e-05
frozen;CHA;2020;Arsenic ion;1.486e-04;1.486e-04;1.486e-04
frozen;CHA;2050;Arsenic ion;1.486e-04;1.486e-04;1.486e-04
frozen;EUR;2020;Arsenic ion;4.000e-06;4.000e-06;4.000e-06
frozen;EUR;2050;Arsenic ion;4.000e-06;4.000e-06;4.000e-06
frozen;GLO;2020;Arsenic ion;1.964e-04;1.964e-04;1.964e-04
frozen;GLO;2050;Arsenic ion;1.964e-04;1.964e-04;1.964e-04
frozen;JAPAN;2020;Arsenic ion;4.000e-06;4.000e-06;4.000e-06
frozen;JAPAN;2050;Arsenic ion;4.000e-06;4.000e-06;4.000e-06
frozen;LATAM;2020;Arsenic ion;1.486e-04;1.486e-04;1.486e-04
frozen;LATAM;2050;Arsenic ion;1.486e-04;1.486e-04;1.486e-04
frozen;NAM;2020;Arsenic ion;4.000e-06;4.000e-06;4.000e-06
frozen;NAM;2050;Arsenic ion;4.000e-06;4.000e-06;4.000e-06
frozen;AFR;2020;Cadmium II;7.651e-05;7.651e-05;7.651e-05
frozen;AFR;2050;Cadmium II;7.651e-05;7.651e-05;7.651e-05
frozen;CAZ;2020;Cadmium II;2.777e-05;2.777e-05;2.777e-05
frozen;CAZ;2050;Cadmium II;2.777e-05;2.777e-05;2.777e-05
frozen;CHA;2020;Cadmium II;6.002e-05;6.002e-05;6.002e-05
frozen;CHA;2050;Cadmium II;6.002e-05;6.002e-05;6.002e-05
frozen;EUR;2020;Cadmium II;7.550e-06;7.550e-06;7.550e-06
frozen;EUR;2050;Cadmium II;7.550e-06;7.550e-06;7.550e-06
frozen;GLO;2020;Cadmium II;7.651e-05;7.651e-05;7.651e-05
frozen;GLO;2050;Cadmium II;7.651e-05;7.651e-05;7.651e-05
frozen;JAPAN;2020;Cadmium II;7.550e-06;7.550e-06;7.550e-06
frozen;JAPAN;2050;Cadmium II;7.550e-06;7.550e-06;7.550e-06
frozen;LATAM;2020;Cadmium II;6.002e-05;6.002e-05;6.002e-05
frozen;LATAM;2050;Cadmium II;6.002e-05;6.002e-05;6.002e-05
frozen;NAM;2020;Cadmium II;7.550e-06;7.550e-06;7.550e-06
frozen;NAM;2050;Cadmium II;7.550e-06;7.550e-06;7.550e-06
frozen;AFR;2020;Copper ion;8.120e-05;8.120e-05;8.120e-05
frozen;AFR;2050;Copper ion;8.120e-05;8.120e-05;8.120e-05
frozen;CAZ;2020;Copper ion;5.535e-05;5.535e-05;5.535e-05
frozen;CAZ;2050;Copper ion;5.535e-05;5.535e-05;5.535e-05
frozen;CHA;2020;Copper ion;7.185e-05;7.185e-05;7.185e-05
frozen;CHA;2050;Copper ion;7.185e-05;7.185e-05;7.185e-05
frozen;EUR;2020;Copper ion;3.500e-05;3.500e-05;3.500e-05
frozen;EUR;2050;Copper ion;3.500e-05;3.500e-05;3.500e-05
frozen;GLO;2020;Copper ion;8.120e-05;8.120e-05;8.120e-05
frozen;GLO;2050;Copper ion;8.120e-05;8.120e-05;8.120e-05
frozen;JAPAN;2020;Copper ion;3.500e-05;3.500e-05;3.500e-05
frozen;JAPAN;2050;Copper ion;3.500e-05;3.500e-05;3.500e-05
frozen;LATAM;2020;Copper ion;7.185e-05;7.185e-05;7.185e-05
frozen;LATAM;2050;Copper ion;7.185e-05;7.185e-05;7.185e-05
frozen;NAM;2020;Copper ion;3.500e-05;3.500e-05;3.500e-05
frozen;NAM;2050;Copper ion;3.500e-05;3.500e-05;3.500e-05
frozen;AFR;2020;Lead II;1.225e-05;1.225e-05;1.225e-05
frozen;AFR;2050;Lead II;1.225e-05;1.225e-05;1.225e-05
frozen;CAZ;2020;Lead II;1.287e-05;1.287e-05;1.287e-05
frozen;CAZ;2050;Lead II;1.287e-05;1.287e-05;1.287e-05
frozen;CHA;2020;Lead II;1.225e-05;1.225e-05;1.225e-05
frozen;CHA;2050;Lead II;1.225e-05;1.225e-05;1.225e-05
frozen;EUR;2020;Lead II;9.750e-06;9.750e-06;9.750e-06
frozen;EUR;2050;Lead II;9.750e-06;9.750e-06;9.750e-06
frozen;GLO;2020;Lead II;1.225e-05;1.225e-05;1.225e-05
frozen;GLO;2050;Lead II;1.225e-05;1.225e-05;1.225e-05
frozen;JAPAN;2020;Lead II;9.750e-06;9.750e-06;9.750e-06
frozen;JAPAN;2050;Lead II;9.750e-06;9.750e-06;9.750e-06
frozen;LATAM;2020;Lead II;1.225e-05;1.225e-05;1.225e-05
frozen;LATAM;2050;Lead II;1.225e-05;1.225e-05;1.225e-05
frozen;NAM;2020;Lead II;9.750e-06;9.750e-06;9.750e-06
frozen;NAM;2050;Lead II;9.750e-06;9.750e-06;9.750e-06
frozen;AFR;2020;Particulate Matter, < 2.5 um;1.920e-04;1.920e-04;1.920e-04
frozen;AFR;2050;Particulate Matter, < 2.5 um;1.920e-04;1.920e-04;1.920e-04
frozen;CAZ;2020;Particulate Matter, < 2.5 um;1.718e-04;1.718e-04;1.718e-04
frozen;CAZ;2050;Particulate Matter, < 2.5 um;1.718e-04;1.718e-04;1.718e-04
frozen;CHA;2020;Particulate Matter, < 2.5 um;1.827e-04;1.827e-04;1.827e-04
frozen;CHA;2050;Particulate Matter, < 2.5 um;1.827e-04;1.827e-04;1.827e-04
frozen;EUR;2020;Particulate Matter, < 2.5 um;1.250e-04;1.250e-04;1.250e-04
frozen;EUR;2050;Particulate Matter, < 2.5 um;1.250e-04;1.250e-04;1.250e-04
frozen;GLO;2020;Particulate Matter, < 2.5 um;1.920e-04;1.920e-04;1.920e-04
frozen;GLO;2050;Particulate Matter, < 2.5 um;1.920e-04;1.920e-04;1.920e-04
frozen;JAPAN;2020;Particulate Matter, < 2.5 um;1.250e-04;1.250e-04;1.250e-04
frozen;JAPAN;2050;Particulate Matter, < 2.5 um;1.250e-04;1.250e-04;1.250e-04
frozen;LATAM;2020;Particulate Matter, < 2.5 um;1.827e-04;1.827e-04;1.827e-04
frozen;LATAM;2050;Particulate Matter, < 2.5 um;1.827e-04;1.827e-04;1.827e-04
frozen;NAM;2020;Particulate Matter, < 2.5 um;1.250e-04;1.250e-04;1.250e-04
frozen;NAM;2050;Particulate Matter, < 2.5 um;1.250e-04;1.250e-04;1.250e-04
frozen;AFR;2020;Particulate Matter, > 10 um;5.760e-05;5.760e-05;5.760e-05
frozen;AFR;2050;Particulate Matter, > 10 um;5.760e-05;5.760e-05;5.760e-05
frozen;CAZ;2020;Particulate Matter, > 10 um;5.152e-05;5.152e-05;5.152e-05
frozen;CAZ;2050;Particulate Matter, > 10 um;5.152e-05;5.152e-05;5.152e-05
frozen;CHA;2020;Particulate Matter, > 10 um;5.482e-05;5.482e-05;5.482e-05
frozen;CHA;2050;Particulate Matter, > 10 um;5.482e-05;5.482e-05;5.482e-05
frozen;EUR;2020;Particulate Matter, > 10 um;3.750e-05;3.750e-05;3.750e-05
frozen;EUR;2050;Particulate Matter, > 10 um;3.750e-05;3.750e-05;3.750e-05
frozen;GLO;2020;Particulate Matter, > 10 um;5.760e-05;5.760e-05;5.760e-05
frozen;GLO;2050;Particulate Matter, > 10 um;5.760e-05;5.760e-05;5.760e-05
frozen;JAPAN;2020;Particulate Matter, > 10 um;3.750e-05;3.750e-05;3.750e-05
frozen;JAPAN;2050;Particulate Matter, > 10 um;3.750e-05;3.750e-05;3.750e-05
frozen;LATAM;2020;Particulate Matter, > 10 um;5.482e-05;5.482e-05;5.482e-05
frozen;LATAM;2050;Particulate Matter, > 10 um;5.482e-05;5.482e-05;5.482e-05
frozen;NAM;2020;Particulate Matter, > 10 um;3.750e-05;3.750e-05;3.750e-05
frozen;NAM;2050;Particulate Matter, > 10 um;3.750e-05;3.750e-05;3.750e-05
frozen;AFR;2020;Particulate Matter, > 2.5 um and < 10um;5.760e-05;5.760e-05;5.760e-05
frozen;AFR;2050;Particulate Matter, > 2.5 um and < 10um;5.760e-05;5.760e-05;5.760e-05
