scenario;region;year;technology;min;mean;max
frozen;AFR;2020;sulfidic tailings - backfill;5.000e-02;5.000e-02;5.000e-02
frozen;AFR;2050;sulfidic tailings - backfill;5.000e-02;5.000e-02;5.000e-02
frozen;APAC;2020;sulfidic tailings - backfill;1.000e-01;1.000e-01;1.000e-01
frozen;APAC;2050;sulfidic tailings - backfill;1.000e-01;1.000e-01;1.000e-01
frozen;EUR;2020;sulfidic tailings - backfill;1.500e-01;1.500e-01;1.500e-01
frozen;EUR;2050;sulfidic tailings - backfill;1.500e-01;1.500e-01;1.500e-01
frozen;GLO;2020;sulfidic tailings - backfill;1.000e-01;1.000e-01;1.000e-01
frozen;GLO;2050;sulfidic tailings - backfill;1.000e-01;1.000e-01;1.000e-01
frozen;LATAM;2020;sulfidic tailings - backfill;5.000e-02;5.000e-02;5.000e-02
frozen;LATAM;2050;sulfidic tailings - backfill;5.000e-02;5.000e-02;5.000e-02
frozen;NAM;2020;sulfidic tailings - backfill;1.500e-01;1.500e-01;1.500e-01
frozen;NAM;2050;sulfidic tailings - backfill;1.500e-01;1.500e-01;1.500e-01
frozen;AFR;2020;sulfidic tailings - flocculation;4.000e-02;4.000e-02;4.000e-02
frozen;AFR;2050;sulfidic tailings - flocculation;4.000e-02;4.000e-02;4.000e-02
frozen;APAC;2020;sulfidic tailings - flocculation;4.000e-02;4.000e-02;4.000e-02
frozen;APAC;2050;sulfidic tailings - flocculation;4.000e-02;4.000e-02;4.000e-02
frozen;EUR;2020;sulfidic tailings - flocculation;4.000e-02;4.000e-02;4.000e-02
frozen;EUR;2050;sulfidic tailings - flocculation;4.000e-02;4.000e-02;4.000e-02
frozen;GLO;2020;sulfidic tailings - flocculation;4.000e-02;4.000e-02;4.000e-02
frozen;GLO;2050;sulfidic tailings - flocculation;4.000e-02;4.000e-02;4.000e-02
frozen;LATAM;2020;sulfidic tailings - flocculation;4.000e-02;4.000e-02;4.000e-02
frozen;LATAM;2050;sulfidic tailings - flocculation;4.000e-02;4.000e-02;4.000e-02
frozen;NAM;2020;sulfidic tailings - flocculation;4.000e-02;4.000e-02;4.000e-02
frozen;NAM;2050;sulfidic tailings - flocculation;4.000e-02;4.000e-02;4.000e-02
frozen;AFR;2020;sulfidic tailings - impoundment;9.000e-01;9.000e-01;9.000e-01
frozen;AFR;2050;sulfidic tailings - impoundment;9.000e-01;9.000e-01;9.000e-01
frozen;APAC;2020;sulfidic tailings - impoundment;8.500e-01;8.500e-01;8.500e-01
frozen;APAC;2050;sulfidic tailings - impoundment;8.500e-01;8.500e-01;8.500e-01
frozen;EUR;2020;sulfidic tailings - impoundment;8.000e-01;8.000e-01;8.000e-01
frozen;EUR;2050;sulfidic tailings - impoundment;8.000e-01;8.000e-01;8.000e-01
frozen;GLO;2020;sulfidic tailings - impoundment;8.500e-01;8.500e-01;8.500e-01
frozen;GLO;2050;sulfidic tailings - impoundment;8.500e-01;8.500e-01;8.500e-01
frozen;LATAM;2020;sulfidic tailings - impoundment;9.000e-01;9.000e-01;9.000e-01
frozen;LATAM;2050;sulfidic tailings - impoundment;9.000e-01;9.000e-01;9.000e-01
frozen;NAM;2020;sulfidic tailings - impoundment;8.000e-01;8.000e-01;8.000e-01
frozen;NAM;2050;sulfidic tailings - impoundment;8.000e-01;8.000e-01;8.000e-01
frozen;AFR;2020;sulfidic tailings - roasting;1.000e-02;1.000e-02;1.000e-02
frozen;AFR;2050;sulfidic tailings - roasting;1.000e-02;1.000e-02;1.000e-02
