scenario;region;year;Arsenic ion;Cadmium II;Copper ion;Lead II;Particulate Matter, < 2.5 um;Particulate Matter, > 10 um;Particulate Matter, > 2.5 um and < 10um;Sulfur dioxide
central;AFR;2020;0.0001964;7.651000000000001e-05;8.12e-05;1.225e-05;0.000192;5.7600000000000004e-05;5.7600000000000004e-05;0.09630000000000001
central;AFR;2050;6.099999999999999e-06;1.2764999999999999e-05;5.039999999999999e-05;1.4124999999999996e-05;0.00017749999999999998;5.324999999999999e-05;5.324999999999999e-05;0.0052499999999999995
central;CAZ;2020;5.8e-06;1.202e-05;4.8200000000000006e-05;1.35e-05;0.00017;5.1e-05;5.1e-05;0.005
central;CAZ;2050;5.2e-06;1.053e-05;4.380000000000001e-05;1.2250000000000001e-05;0.00015500000000000003;4.6500000000000005e-05;4.6500000000000005e-05;0.0045000000000000005
central;CHA;2020;0.00010109999999999999;4.4265000000000004e-05;6.47e-05;1.2875e-05;0.000181;5.4300000000000005e-05;5.4300000000000005e-05;0.05065000000000001
central;CHA;2050;5.5e-06;1.1275000000000001e-05;4.6e-05;1.2875e-05;0.00016250000000000002;4.8750000000000006e-05;4.8750000000000006e-05;0.004750000000000001
central;EUR;2020;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
central;EUR;2050;2.8e-06;4.57e-06;2.62e-05;7.25e-06;9.5e-05;2.85e-05;2.85e-05;0.0025
central;GLO;2020;0.0001964;7.651000000000001e-05;8.12e-05;1.225e-05;0.000192;5.7600000000000004e-05;5.7600000000000004e-05;0.09630000000000001
central;GLO;2050;6.099999999999999e-06;1.2764999999999999e-05;5.039999999999999e-05;1.4124999999999996e-05;0.00017749999999999998;5.324999999999999e-05;5.324999999999999e-05;0.0052499999999999995
central;JAPAN;2020;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
central;JAPAN;2050;2.8e-06;4.57e-06;2.62e-05;7.25e-06;9.5e-05;2.85e-05;2.85e-05;0.0025
central;LATAM;2020;0.00010109999999999999;4.4265000000000004e-05;6.47e-05;1.2875e-05;0.000181;5.4300000000000005e-05;5.4300000000000005e-05;0.05065000000000001
central;LATAM;2050;5.5e-06;1.1275000000000001e-05;4.6e-05;1.2875e-05;0.00016250000000000002;4.8750000000000006e-05;4.8750000000000006e-05;0.004750000000000001
central;NAM;2020;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
central;NAM;2050;2.8e-06;4.57e-06;2.62e-05;7.25e-06;9.5e-05;2.85e-05;2.85e-05;0.0025
frozen;AFR;2020;0.0001964;7.651000000000001e-05;8.12e-05;1.225e-05;0.000192;5.7600000000000004e-05;5.7600000000000004e-05;0.09630000000000001
frozen;AFR;2050;0.0001964;7.651000000000001e-05;8.12e-05;1.225e-05;0.000192;5.7600000000000004e-05;5.7600000000000004e-05;0.09630000000000001
frozen;CAZ;2020;5.8e-06;1.202e-05;4.8200000000000006e-05;1.35e-05;0.00017;5.1e-05;5.1e-05;0.005
frozen;CAZ;2050;5.8e-06;1.202e-05;4.8200000000000006e-05;1.35e-05;0.00017;5.1e-05;5.1e-05;0.005
frozen;CHA;2020;0.00010109999999999999;4.4265000000000004e-05;6.47e-05;1.2875e-05;0.000181;5.4300000000000005e-05;5.4300000000000005e-05;0.05065000000000001
frozen;CHA;2050;0.00010109999999999999;4.4265000000000004e-05;6.47e-05;1.2875e-05;0.000181;5.4300000000000005e-05;5.4300000000000005e-05;0.05065000000000001
frozen;EUR;2020;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
frozen;EUR;2050;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
frozen;GLO;2020;0.0001964;7.651000000000001e-05;8.12e-05;1.225e-05;0.000192;5.7600000000000004e-05;5.7600000000000004e-05;0.09630000000000001
frozen;GLO;2050;0.0001964;7.651000000000001e-05;8.12e-05;1.225e-05;0.000192;5.7600000000000004e-05;5.7600000000000004e-05;0.09630000000000001
frozen;JAPAN;2020;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
frozen;JAPAN;2050;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
frozen;LATAM;2020;0.00010109999999999999;4.4265000000000004e-05;6.47e-05;1.2875e-05;0.000181;5.4300000000000005e-05;5.4300000000000005e-05;0.05065000000000001
frozen;LATAM;2050;0.00010109999999999999;4.4265000000000004e-05;6.47e-05;1.2875e-05;0.000181;5.4300000000000005e-05;5.4300000000000005e-05;0.05065000000000001
frozen;NAM;2020;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
frozen;NAM;2050;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
high;AFR;2020;0.0001964;7.651000000000001e-05;8.12e-05;1.225e-05;0.000192;5.7600000000000004e-05;5.7600000000000004e-05;0.09630000000000001
high;AFR;2050;4.599999999999998e-06;9.039999999999998e-06;3.939999999999999e-05;1.0999999999999998e-05;0.00014;4.199999999999999e-05;4.199999999999999e-05;0.003999999999999999
high;CAZ;2020;5.8e-06;1.202e-05;4.8200000000000006e-05;1.35e-05;0.00017;5.1e-05;5.1e-05;0.005
high;CAZ;2050;3.4000000000000005e-06;6.0600000000000004e-06;3.06e-05;8.5e-06;0.00011000000000000002;3.3e-05;3.3e-05;0.003
high;CHA;2020;0.00010109999999999999;4.4265000000000004e-05;6.47e-05;1.2875e-05;0.000181;5.4300000000000005e-05;5.4300000000000005e-05;0.05065000000000001
high;CHA;2050;3.6999999999999993e-06;6.804999999999999e-06;3.28e-05;9.124999999999998e-06;0.00011749999999999998;3.5249999999999996e-05;3.5249999999999996e-05;0.0032499999999999994
high;EUR;2020;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
high;EUR;2050;1e-06;1e-07;1.3e-05;3.5e-06;5e-05;1.5e-05;1.5e-05;0.001
high;GLO;2020;0.0001964;7.651000000000001e-05;8.12e-05;1.225e-05;0.000192;5.7600000000000004e-05;5.7600000000000004e-05;0.09630000000000001
high;GLO;2050;4.599999999999998e-06;9.039999999999998e-06;3.939999999999999e-05;1.0999999999999998e-05;0.00014;4.199999999999999e-05;4.199999999999999e-05;0.003999999999999999
high;JAPAN;2020;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
high;JAPAN;2050;1e-06;1e-07;1.3e-05;3.5e-06;5e-05;1.5e-05;1.5e-05;0.001
high;LATAM;2020;0.00010109999999999999;4.4265000000000004e-05;6.47e-05;1.2875e-05;0.000181;5.4300000000000005e-05;5.4300000000000005e-05;0.05065000000000001
high;LATAM;2050;3.6999999999999993e-06;6.804999999999999e-06;3.28e-05;9.124999999999998e-06;0.00011749999999999998;3.5249999999999996e-05;3.5249999999999996e-05;0.0032499999999999994
high;NAM;2020;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
