scenario;region;year;sulfidic tailings - backfill;sulfidic tailings - flocculation;sulfidic tailings - impoundment;sulfidic tailings - roasting
central;AFR;2020;0.05;0.04;0.9;0.01
central;AFR;2050;0.1;0.08;0.8;0.02
central;APAC;2020;0.1;0.04;0.85;0.01
central;APAC;2050;0.2;0.08;0.7;0.02
central;EUR;2020;0.15;0.04;0.8;0.01
central;EUR;2050;0.35;0.08;0.55;0.02
central;GLO;2020;0.1;0.04;0.85;0.01
central;GLO;2050;0.25;0.08;0.6499999999999999;0.02
central;LATAM;2020;0.05;0.04;0.9;0.01
central;LATAM;2050;0.25;0.08;0.6499999999999999;0.02
central;NAM;2020;0.15;0.04;0.8;0.01
central;NAM;2050;0.3;0.08;0.6;0.02
frozen;AFR;2020;0.05;0.04;0.9;0.01
frozen;AFR;2050;0.05;0.04;0.9;0.01
frozen;APAC;2020;0.1;0.04;0.85;0.01
frozen;APAC;2050;0.1;0.04;0.85;0.01
frozen;EUR;2020;0.15;0.04;0.8;0.01
frozen;EUR;2050;0.15;0.04;0.8;0.01
frozen;GLO;2020;0.1;0.04;0.85;0.01
frozen;GLO;2050;0.1;0.04;0.85;0.01
frozen;LATAM;2020;0.05;0.04;0.9;0.01
frozen;LATAM;2050;0.05;0.04;0.9;0.01
frozen;NAM;2020;0.15;0.04;0.8;0.01
frozen;NAM;2050;0.15;0.04;0.8;0.01
high;AFR;2020;0.05;0.04;0.9;0.01
high;AFR;2050;0.15;0.12;0.69;0.04
high;APAC;2020;0.1;0.04;0.85;0.01
high;APAC;2050;0.3;0.12;0.54;0.04
high;EUR;2020;0.15;0.04;0.8;0.01
high;EUR;2050;0.45;0.12;0.3899999999999999;0.04
high;GLO;2020;0.1;0.04;0.85;0.01
high;GLO;2050;0.35;0.12;0.49;0.04
high;LATAM;2020;0.05;0.04;0.9;0.01
high;LATAM;2050;0.35;0.12;0.49;0.04
high;NAM;2020;0.15;0.04;0.8;0.01
high;NAM;2050;0.4;0.12;0.43999999999999995;0.04
low;AFR;2020;0.05;0.04;0.9;0.01
low;AFR;2050;0.05;0.06;0.88;0.01
low;APAC;2020;0.1;0.04;0.85;0.01
low;APAC;2050;0.1;0.06;0.83;0.01
low;EUR;2020;0.15;0.04;0.8;0.01
low;EUR;2050;0.25;0.06;0.6799999999999999;0.01
low;GLO;2020;0.1;0.04;0.85;0.01
low;GLO;2050;0.15;0.06;0.78;0.01
low;LATAM;2020;0.05;0.04;0.9;0.01
low;LATAM;2050;0.15;0.06;0.78;0.01
low;NAM;2020;0.15;0.04;0.8;0.01
low;NAM;2050;0.2;0.06;0.73;0.01
